archivo_original,tamano_patron,tiempo_busqueda_ns,ocurrencias
sources,10,2318,21
sources,10,2376,21
sources,10,2327,21
sources,10,2366,21
sources,10,2331,21
sources,10,2359,21
sources,10,2378,21
sources,10,2316,21
sources,10,2319,21
sources,10,2337,21
sources,10,2338,21
sources,10,2337,21
sources,10,2344,21
sources,10,2348,21
sources,10,2354,21
sources,10,2321,21
sources,10,2324,21
sources,10,2359,21
sources,10,2348,21
sources,10,2336,21
sources,10,2318,21
sources,10,13988,1
sources,10,2399,1
sources,10,2327,1
sources,10,2313,1
sources,10,2296,1
sources,10,2264,1
sources,10,2252,1
sources,10,2286,1
sources,10,2319,1
sources,10,2253,1
sources,10,2257,1
sources,10,2329,1
sources,10,2356,1
sources,10,2299,1
sources,10,2296,1
sources,10,2272,1
sources,10,2259,1
sources,10,2256,1
sources,10,2296,1
sources,10,2252,1
sources,10,2261,1
sources,10,2251,1
sources,10,2261,1
sources,10,2260,1
sources,10,2238,1
sources,10,2277,1
sources,10,2292,1
sources,10,2292,1
sources,10,2257,1
sources,10,2285,1
sources,10,15864,1738
sources,10,2330,1738
sources,10,2221,1738
sources,10,2208,1738
sources,10,2188,1738
sources,10,2221,1738
sources,10,2214,1738
sources,10,2251,1738
sources,10,2195,1738
sources,10,2194,1738
sources,10,2207,1738
sources,10,2193,1738
sources,10,2231,1738
sources,10,2186,1738
sources,10,2192,1738
sources,10,2187,1738
sources,10,2201,1738
sources,10,2314,1738
sources,10,2236,1738
sources,10,2235,1738
sources,10,2187,1738
sources,10,2190,1738
sources,10,2210,1738
sources,10,2224,1738
sources,10,2196,1738
sources,10,2182,1738
sources,10,2191,1738
sources,10,2185,1738
sources,10,2260,1738
sources,10,2197,1738
sources,10,17373,818
sources,10,2526,818
sources,10,2409,818
sources,10,2396,818
sources,10,2383,818
sources,10,2358,818
sources,10,2409,818
sources,10,2383,818
sources,10,2381,818
sources,10,2369,818
sources,10,2409,818
sources,10,2374,818
sources,10,2374,818
sources,10,2379,818
sources,10,2415,818
sources,10,2422,818
sources,10,2393,818
sources,10,2352,818
sources,10,2400,818
sources,10,2392,818
sources,10,2392,818
sources,10,2364,818
sources,10,2381,818
sources,10,2360,818
sources,10,2366,818
sources,10,2376,818
sources,10,2364,818
sources,10,2405,818
sources,10,2368,818
sources,10,2388,818
sources,10,13858,1
sources,10,2393,1
sources,10,2276,1
sources,10,2311,1
sources,10,2300,1
sources,10,2243,1
sources,10,2239,1
sources,10,2238,1
sources,10,2260,1
sources,10,2249,1
sources,10,2234,1
sources,10,2280,1
sources,10,2229,1
sources,10,2249,1
sources,10,2236,1
sources,10,2225,1
sources,10,2248,1
sources,10,2289,1
sources,10,2245,1
sources,10,2234,1
sources,10,2259,1
sources,10,2240,1
sources,10,2235,1
sources,10,2242,1
sources,10,2245,1
sources,10,2231,1
sources,10,2237,1
sources,10,2260,1
sources,10,2240,1
sources,10,2254,1
sources,10,13661,47
sources,10,2378,47
sources,10,2356,47
sources,10,2324,47
sources,10,2367,47
sources,10,2353,47
sources,10,2304,47
sources,10,2267,47
sources,10,2287,47
sources,10,2381,47
sources,10,2287,47
sources,10,2299,47
sources,10,2297,47
sources,10,2293,47
sources,10,2304,47
sources,10,2296,47
sources,10,2277,47
sources,10,2280,47
sources,10,2324,47
sources,10,2295,47
sources,10,2329,47
sources,10,2422,47
sources,10,2309,47
sources,10,2371,47
sources,10,2282,47
sources,10,2292,47
sources,10,2327,47
sources,10,2277,47
