archivo_original,tamano_patron,tiempo_busqueda_ns,ocurrencias
sources,10,3610,330
sources,10,3644,330
sources,10,3685,330
sources,10,3693,330
sources,10,3602,330
sources,10,21888,1
sources,10,1100,1
sources,10,798,1
sources,10,742,1
sources,10,742,1
sources,10,767,1
sources,10,773,1
sources,10,722,1
sources,10,750,1
sources,10,747,1
sources,10,779,1
sources,10,742,1
sources,10,760,1
sources,10,736,1
sources,10,770,1
sources,10,744,1
sources,10,713,1
sources,10,762,1
sources,10,754,1
sources,10,763,1
sources,10,748,1
sources,10,798,1
sources,10,750,1
sources,10,734,1
sources,10,758,1
sources,10,742,1
sources,10,755,1
sources,10,743,1
sources,10,735,1
sources,10,766,1
sources,10,18874,16
sources,10,1254,16
sources,10,908,16
sources,10,871,16
sources,10,853,16
sources,10,949,16
sources,10,866,16
sources,10,869,16
sources,10,854,16
sources,10,843,16
sources,10,832,16
sources,10,840,16
sources,10,856,16
sources,10,846,16
sources,10,866,16
sources,10,847,16
sources,10,845,16
sources,10,866,16
sources,10,881,16
sources,10,856,16
sources,10,840,16
sources,10,831,16
sources,10,842,16
sources,10,833,16
sources,10,822,16
sources,10,857,16
sources,10,885,16
sources,10,847,16
sources,10,833,16
sources,10,830,16
sources,10,35253,559
sources,10,12726,559
sources,10,9150,559
sources,10,7692,559
sources,10,7238,559
sources,10,6904,559
sources,10,6730,559
sources,10,6645,559
sources,10,6626,559
sources,10,6450,559
sources,10,6355,559
sources,10,6348,559
sources,10,6330,559
sources,10,6325,559
sources,10,6420,559
sources,10,6377,559
sources,10,6248,559
sources,10,6239,559
sources,10,6407,559
sources,10,6394,559
sources,10,6279,559
sources,10,6365,559
sources,10,6358,559
sources,10,6465,559
sources,10,6369,559
sources,10,6377,559
sources,10,6303,559
sources,10,6361,559
sources,10,6260,559
sources,10,6324,559
sources,10,10925,3
sources,10,961,3
sources,10,707,3
sources,10,692,3
sources,10,703,3
sources,10,676,3
sources,10,675,3
sources,10,680,3
sources,10,698,3
sources,10,668,3
sources,10,660,3
sources,10,657,3
sources,10,675,3
sources,10,659,3
sources,10,666,3
sources,10,684,3
sources,10,658,3
sources,10,690,3
sources,10,686,3
sources,10,693,3
sources,10,696,3
sources,10,724,3
sources,10,681,3
sources,10,677,3
sources,10,798,3
sources,10,674,3
sources,10,651,3
sources,10,669,3
sources,10,658,3
sources,10,683,3
sources,10,7595,2
sources,10,929,2
sources,10,727,2
sources,10,732,2
sources,10,726,2
sources,10,735,2
sources,10,763,2
sources,10,757,2
sources,10,755,2
sources,10,752,2
sources,10,730,2
sources,10,735,2
sources,10,738,2
sources,10,754,2
sources,10,731,2
sources,10,750,2
sources,10,738,2
sources,10,753,2
sources,10,745,2
sources,10,720,2
sources,10,726,2
sources,10,788,2
sources,10,731,2
sources,10,742,2
sources,10,757,2
sources,10,730,2
sources,10,731,2
sources,10,753,2
sources,10,728,2
sources,10,753,2
sources,10,241098,5094
sources,10,213769,5094
sources,10,206547,5094
sources,10,203059,5094
sources,10,200273,5094
sources,10,198158,5094
sources,10,196500,5094
sources,10,204193,5094
sources,10,207546,5094
sources,10,203633,5094
sources,10,200762,5094
sources,10,199064,5094
sources,10,198008,5094
sources,10,196504,5094
sources,10,194469,5094
sources,10,194007,5094
sources,10,193745,5094
sources,10,192721,5094
sources,10,192376,5094
sources,10,191217,5094
sources,10,191532,5094
sources,10,191485,5094
sources,10,190578,5094
sources,10,191136,5094
sources,10,190434,5094
sources,10,190203,5094
sources,10,190010,5094
sources,10,192573,5094
sources,10,189586,5094
sources,10,189368,5094
sources,10,27918,315
sources,10,6530,315
sources,10,4750,315
sources,10,4169,315
sources,10,3955,315
sources,10,3912,315
sources,10,3919,315
sources,10,4091,315
sources,10,3864,315
sources,10,3812,315
sources,10,3853,315
sources,10,3945,315
sources,10,3820,315
sources,10,3830,315
sources,10,3854,315
sources,10,3951,315
sources,10,3834,315
sources,10,3886,315
sources,10,3955,315
sources,10,3841,315
sources,10,3792,315
sources,10,3909,315
sources,10,3834,315
sources,10,3826,315
sources,10,3781,315
sources,10,3799,315
sources,10,3777,315
sources,10,3756,315
sources,10,3773,315
sources,10,3787,315
sources,10,36399,607
sources,10,13900,607
sources,10,10862,607
sources,10,9428,607
sources,10,8977,607
sources,10,7739,607
sources,10,6829,607
sources,10,6445,607
sources,10,6176,607
sources,10,6349,607
sources,10,6101,607
sources,10,6229,607
sources,10,6088,607
sources,10,6152,607
sources,10,6273,607
sources,10,6123,607
sources,10,6133,607
sources,10,6063,607
sources,10,6147,607
sources,10,6114,607
sources,10,6172,607
sources,10,6268,607
sources,10,6164,607
sources,10,6165,607
sources,10,6221,607
sources,10,6299,607
sources,10,6109,607
sources,10,6175,607
sources,10,6195,607
sources,10,6160,607
sources,10,12392,2
sources,10,1169,2
sources,10,886,2
sources,10,817,2
sources,10,854,2
sources,10,811,2
sources,10,827,2
sources,10,865,2
sources,10,827,2
sources,10,821,2
sources,10,820,2
sources,10,829,2
sources,10,830,2
sources,10,825,2
sources,10,874,2
sources,10,837,2
sources,10,817,2
sources,10,825,2
sources,10,810,2
sources,10,829,2
sources,10,816,2
sources,10,823,2
sources,10,818,2
sources,10,875,2
sources,10,822,2
sources,10,853,2
sources,10,879,2
sources,10,835,2
sources,10,839,2
sources,10,855,2
sources,10,14122,21
sources,10,1480,21
sources,10,999,21
sources,10,1015,21
sources,10,1011,21
sources,10,1002,21
sources,10,1025,21
sources,10,992,21
sources,10,980,21
sources,10,1009,21
sources,10,1002,21
sources,10,1009,21
sources,10,1009,21
sources,10,1013,21
sources,10,1003,21
sources,10,983,21
sources,10,1014,21
sources,10,1015,21
sources,10,1012,21
sources,10,1027,21
sources,10,994,21
sources,10,998,21
sources,10,983,21
sources,10,1031,21
sources,10,976,21
sources,10,980,21
sources,10,994,21
sources,10,996,21
sources,10,985,21
sources,10,1055,21
sources,10,9143,1
sources,10,902,1
sources,10,539,1
sources,10,572,1
sources,10,570,1
sources,10,581,1
sources,10,545,1
sources,10,554,1
sources,10,568,1
sources,10,598,1
sources,10,563,1
sources,10,551,1
sources,10,540,1
sources,10,543,1
sources,10,554,1
sources,10,572,1
sources,10,546,1
sources,10,561,1
